motor_tipi,calisma_saati,titresim_rms_mms,titresim_kurtosis,sicaklik_C,akim_dengesizlik_pct,ariza
asenkron,14792.0,3.3,3.82,64.0,3.05,0
asenkron,5094.0,4.1,3.39,56.7,3.46,0
dc,13285.0,3.46,2.77,69.3,0.21,0
dc,19602.0,1.93,3.44,61.6,2.45,0
asenkron,7767.0,4.72,3.22,64.0,0.47,0
asenkron,3860.0,3.19,2.64,61.1,3.24,0
asenkron,6149.0,3.28,2.58,63.3,6.62,1
dc,19317.0,4.02,3.94,64.8,1.38,0
asenkron,13905.0,3.43,2.38,55.1,0.85,0
asenkron,11406.0,2.43,4.22,74.8,0.66,0
senkron,19148.0,3.24,3.0,61.9,0.3,0
asenkron,3230.0,2.9,2.63,58.9,0.47,0
senkron,7112.0,0.83,1.63,59.4,1.13,0
asenkron,18687.0,3.83,3.25,58.0,1.34,0
dc,8178.0,3.22,3.41,76.6,0.09,0
senkron,11110.0,5.2,2.95,79.5,3.88,1
senkron,18540.0,2.12,3.82,67.1,1.75,0
asenkron,3817.0,2.92,3.7,60.9,0.54,0
dc,7334.0,3.27,2.73,66.0,6.41,0
senkron,11776.0,3.8,3.29,60.8,0.71,0
senkron,13226.0,1.2,2.39,59.5,0.96,0
dc,11168.0,3.08,5.24,60.8,0.76,0
asenkron,2634.0,1.6,3.53,59.2,0.52,0
asenkron,2090.0,2.91,3.3,67.1,1.69,0
asenkron,17598.0,1.67,4.18,68.7,1.78,0
senkron,16350.0,2.43,1.65,46.1,0.81,0
senkron,16783.0,0.69,2.83,53.1,1.79,0
senkron,12859.0,2.1,3.23,56.1,1.38,0
dc,16936.0,4.47,2.7,66.2,3.53,1
senkron,12326.0,2.09,1.93,63.3,3.12,0
senkron,19872.0,2.04,3.15,58.7,0.26,0
asenkron,6756.0,1.85,3.04,61.1,1.17,0
asenkron,5841.0,2.03,2.89,45.9,2.01,0
dc,12247.0,1.97,3.75,79.4,8.63,0
asenkron,19884.0,2.91,2.98,56.7,1.43,0
dc,12033.0,2.6,3.93,57.7,1.17,0
asenkron,7906.0,2.63,3.57,57.5,0.46,0
asenkron,17276.0,4.91,2.98,56.2,1.17,0
asenkron,18507.0,1.71,3.92,62.9,0.7,0
asenkron,12150.0,3.94,2.88,64.7,2.46,0
senkron,8413.0,2.01,1.88,61.9,3.12,1
asenkron,17714.0,1.0,4.4,66.8,1.65,0
asenkron,5157.0,3.89,3.37,68.8,1.72,0
asenkron,17666.0,4.71,2.89,77.1,0.71,0
asenkron,2038.0,3.06,4.05,44.5,0.46,0
asenkron,616.0,1.1,3.68,72.9,1.67,0
senkron,17336.0,2.34,2.47,55.3,0.88,0
senkron,10724.0,3.64,5.7,78.1,2.34,1
asenkron,14773.0,4.12,1.8,62.4,1.27,0
senkron,18896.0,3.18,3.55,48.5,1.5,0
senkron,6682.0,1.79,3.16,70.4,1.69,0
asenkron,16204.0,3.9,2.78,44.7,1.94,0
senkron,18245.0,4.13,1.5,60.0,0.81,0
asenkron,8898.0,4.85,4.99,72.5,2.63,1
senkron,2337.0,2.97,3.42,64.8,3.17,0
asenkron,1660.0,2.53,4.04,50.9,0.47,0
senkron,11200.0,2.4,2.8,67.7,1.43,0
senkron,16164.0,2.22,3.5,55.0,1.19,0
asenkron,7040.0,2.76,3.34,58.0,1.91,0
dc,12906.0,4.4,2.94,74.4,1.44,0
asenkron,14343.0,5.56,2.86,60.4,5.18,0
asenkron,12802.0,4.27,4.59,62.0,2.92,1
asenkron,7245.0,1.78,4.77,66.0,1.22,0
asenkron,19493.0,2.81,4.99,60.6,1.95,0
dc,5905.0,1.87,3.05,71.4,2.03,0
asenkron,11759.0,1.42,2.58,53.4,0.45,0
asenkron,8521.0,3.71,3.03,52.2,0.19,0
asenkron,957.0,2.04,1.63,54.3,1.51,0
asenkron,2605.0,0.89,3.4,63.6,0.35,0
senkron,8998.0,2.47,2.76,60.7,0.41,0
senkron,6263.0,3.56,2.98,53.4,1.22,0
asenkron,10977.0,3.15,2.0,59.1,1.23,0
asenkron,188.0,2.04,2.65,68.8,1.02,0
asenkron,2478.0,2.29,3.39,56.5,1.0,0
senkron,17583.0,6.07,2.82,73.9,5.69,1
asenkron,12372.0,4.21,2.97,52.5,1.78,0
dc,18596.0,3.71,3.17,62.0,1.02,0
asenkron,6532.0,3.1,2.68,65.1,3.13,0
asenkron,9330.0,3.12,3.73,64.5,0.71,0
asenkron,9532.0,1.9,2.26,60.6,1.81,0
senkron,19704.0,3.67,3.32,79.9,2.08,0
senkron,19103.0,3.0,2.79,60.1,1.99,0
asenkron,8941.0,4.8,3.54,77.7,4.22,1
asenkron,17156.0,2.53,3.07,47.5,1.38,0
asenkron,13215.0,3.01,3.2,63.4,1.72,0
asenkron,9245.0,2.6,1.5,50.3,2.2,0
asenkron,7709.0,0.84,2.64,69.2,2.92,0
asenkron,16448.0,2.65,2.14,56.3,2.44,0
dc,12137.0,2.96,2.41,47.0,0.76,0
asenkron,423.0,1.56,3.17,62.9,1.21,0
asenkron,3798.0,0.42,2.91,57.1,1.77,0
asenkron,9609.0,2.58,1.86,71.3,1.29,0
dc,6083.0,3.28,3.7,67.9,3.6,0
dc,1135.0,2.29,3.49,68.3,1.62,0
senkron,10725.0,3.61,2.29,59.1,3.19,0
asenkron,15785.0,1.72,3.52,60.2,4.77,0
asenkron,14519.0,3.23,2.99,53.3,1.1,0
senkron,17215.0,3.06,4.51,54.7,0.94,0
asenkron,8112.0,0.2,4.81,54.4,0.94,0
senkron,15036.0,3.03,3.08,53.8,2.33,0
asenkron,9365.0,3.56,2.9,69.1,1.79,0
asenkron,2898.0,1.98,2.21,61.9,3.76,0
senkron,3791.0,1.88,5.83,50.8,1.72,0
senkron,19694.0,1.82,2.56,69.0,1.7,0
dc,8603.0,3.56,2.8,59.3,2.23,0
asenkron,4602.0,2.83,3.11,61.2,2.17,0
senkron,1806.0,1.73,3.68,68.9,0.71,0
dc,2593.0,3.06,3.56,69.5,0.62,0
asenkron,10340.0,2.81,4.46,66.1,2.11,0
dc,16692.0,4.55,2.62,67.8,4.48,0
dc,5919.0,4.11,2.44,53.5,2.53,0
asenkron,13349.0,3.38,3.25,64.6,3.56,0
asenkron,17696.0,2.41,4.03,57.6,1.49,0
asenkron,10890.0,2.54,2.39,76.3,3.48,1
senkron,8643.0,2.45,1.91,52.9,2.1,0
asenkron,12745.0,2.95,3.48,62.5,2.39,0
senkron,2940.0,1.65,3.33,69.3,4.86,1
asenkron,15698.0,2.92,3.0,61.3,3.41,0
asenkron,12610.0,2.9,2.94,55.6,3.94,0
dc,11019.0,2.17,3.62,64.1,0.79,0
senkron,8073.0,2.33,3.07,42.7,1.7,0
asenkron,1615.0,1.99,1.69,59.6,1.26,0
asenkron,14148.0,5.6,4.24,75.6,2.13,1
senkron,16053.0,1.06,2.63,70.7,5.48,0
asenkron,10935.0,2.58,2.09,60.1,1.87,0
asenkron,5775.0,2.54,3.78,53.0,1.35,0
asenkron,15320.0,2.88,3.17,72.0,1.43,0
dc,8685.0,4.68,3.03,65.5,3.3,1
asenkron,13277.0,3.19,2.28,64.7,4.36,0
asenkron,10118.0,2.64,2.86,56.4,1.58,0
asenkron,4217.0,2.16,3.59,52.9,1.83,0
asenkron,2543.0,2.03,2.1,66.7,0.81,0
asenkron,15602.0,2.83,4.14,58.8,0.2,0
dc,532.0,1.57,2.88,54.8,2.86,0
asenkron,5455.0,1.76,2.59,78.5,2.16,0
dc,19196.0,2.43,3.28,64.0,2.87,0
asenkron,19176.0,2.85,2.84,61.4,1.05,0
asenkron,1333.0,2.15,2.54,55.7,0.94,0
senkron,12173.0,3.27,2.52,64.7,0.74,0
dc,19558.0,2.82,4.72,57.1,3.04,0
asenkron,17592.0,2.46,3.4,66.8,0.3,0
dc,9083.0,2.28,3.38,63.0,2.62,0
asenkron,5072.0,3.7,2.79,57.6,0.78,0
dc,2265.0,3.02,2.6,57.2,1.62,0
senkron,5177.0,3.47,2.95,57.4,3.16,0
asenkron,2201.0,2.59,3.41,57.6,2.33,0
asenkron,12153.0,3.43,2.58,64.4,1.69,1
dc,177.0,2.53,2.77,58.7,1.14,0
asenkron,3131.0,2.18,4.01,56.7,0.32,0
asenkron,12073.0,2.06,2.28,62.2,0.24,0
asenkron,10554.0,2.31,3.29,66.8,1.5,0
asenkron,9552.0,1.57,1.53,69.4,1.24,0
asenkron,16233.0,2.77,2.23,55.2,1.4,0
dc,11603.0,2.1,2.83,49.9,1.51,0
asenkron,17976.0,3.88,2.5,63.1,1.49,0
asenkron,14491.0,4.3,3.95,50.3,1.08,0
senkron,17302.0,3.67,3.36,72.6,1.43,0
senkron,2561.0,2.22,2.73,57.7,0.88,0
asenkron,12439.0,3.3,3.84,58.3,2.7,0
asenkron,5318.0,1.2,2.45,75.5,0.93,0
senkron,10799.0,2.82,2.4,50.2,2.25,0
senkron,4512.0,0.79,3.67,72.5,4.1,0
senkron,7594.0,1.33,1.5,58.9,1.71,0
asenkron,10806.0,3.0,3.77,57.8,2.09,0
asenkron,5034.0,3.02,3.21,77.0,0.07,0
asenkron,9019.0,3.66,2.42,60.6,1.47,0
asenkron,8282.0,2.06,2.12,56.3,3.08,0
asenkron,13295.0,3.75,2.91,60.2,2.06,0
senkron,19596.0,2.22,3.03,70.7,1.34,0
asenkron,1759.0,2.02,2.52,68.3,4.25,0
asenkron,17744.0,3.11,3.52,69.6,1.12,0
asenkron,18728.0,3.1,3.21,67.3,1.52,0
asenkron,16490.0,4.28,3.78,64.4,2.45,0
senkron,18306.0,2.65,2.05,49.5,0.67,0
senkron,7304.0,2.49,2.55,51.0,0.97,0
asenkron,16772.0,2.69,2.53,59.8,0.15,0
asenkron,16852.0,3.09,2.52,44.5,2.02,0
asenkron,1945.0,1.6,2.74,77.9,2.88,0
asenkron,7481.0,1.97,2.78,63.3,1.92,0
dc,15313.0,1.43,3.55,56.2,2.05,0
dc,1281.0,3.28,3.96,64.9,2.16,0
asenkron,12837.0,2.74,3.65,67.7,0.42,0
senkron,2406.0,4.08,4.27,51.1,9.23,1
dc,9170.0,2.41,3.37,63.1,0.97,0
senkron,11079.0,4.5,3.4,70.5,0.74,0
asenkron,13482.0,3.08,2.77,71.9,1.0,0
senkron,5430.0,1.7,1.78,67.6,1.43,0
asenkron,19360.0,3.11,3.76,88.5,2.36,0
asenkron,12712.0,3.63,2.8,53.6,1.68,0
asenkron,4410.0,3.1,3.71,65.7,1.08,0
senkron,13423.0,4.34,3.54,84.7,1.32,1
asenkron,18596.0,2.92,2.95,53.4,2.47,0
senkron,4977.0,2.32,3.55,71.0,6.13,1
asenkron,4362.0,3.21,1.62,62.3,1.53,0
dc,6490.0,2.55,2.27,66.7,4.82,0
asenkron,19080.0,2.93,2.41,48.7,2.64,0
asenkron,15593.0,2.92,3.36,67.5,0.51,0
asenkron,17007.0,2.46,4.61,58.8,1.98,0
asenkron,16465.0,4.19,3.01,72.6,2.17,0
dc,14149.0,3.2,2.42,61.2,0.95,0
dc,14829.0,2.36,2.77,59.9,1.61,0
asenkron,5940.0,2.82,3.64,65.3,2.95,0
asenkron,11579.0,6.16,4.73,76.7,4.09,1
dc,12099.0,2.92,2.5,77.2,3.59,0
asenkron,9526.0,3.08,2.89,58.2,1.05,0
asenkron,13488.0,4.0,2.15,64.7,1.32,0
asenkron,13646.0,3.1,4.96,55.1,1.85,0
dc,600.0,2.36,3.44,65.6,0.87,0
dc,10248.0,2.34,2.79,75.5,0.76,0
asenkron,15106.0,3.34,5.48,64.9,4.04,1
asenkron,9075.0,2.17,3.5,67.8,0.23,0
asenkron,6654.0,2.02,1.97,62.3,0.93,0
asenkron,8652.0,5.73,6.79,77.0,1.66,1
asenkron,9425.0,3.19,1.62,54.3,5.32,0
asenkron,17979.0,5.03,3.46,60.3,0.25,0
asenkron,15389.0,2.06,2.88,48.1,0.55,0
asenkron,18833.0,5.32,3.64,65.2,1.98,1
dc,7801.0,2.65,1.8,54.1,0.78,0
senkron,850.0,2.35,3.14,55.8,2.08,0
asenkron,13993.0,3.58,2.52,60.9,3.36,0
asenkron,11305.0,4.88,2.98,56.0,1.05,1
dc,10154.0,4.7,2.72,68.5,1.44,0
senkron,10755.0,5.81,5.64,78.4,0.77,1
asenkron,18374.0,4.19,4.29,61.3,1.6,0
senkron,6868.0,2.43,3.68,55.9,0.9,0
asenkron,2013.0,2.92,2.19,63.3,5.39,0
asenkron,13975.0,5.18,3.0,68.4,1.07,1
dc,1855.0,3.42,1.98,53.1,1.26,0
dc,14128.0,1.75,2.02,81.7,1.09,1
senkron,9477.0,2.71,3.2,64.1,4.07,1
asenkron,14355.0,5.36,6.68,72.5,3.76,1
asenkron,1936.0,1.91,2.89,65.3,1.1,0
asenkron,18014.0,2.73,3.92,61.8,0.75,0
senkron,10668.0,3.8,4.35,56.7,0.86,0
asenkron,8468.0,1.67,3.01,51.3,1.39,0
senkron,556.0,3.35,3.53,77.5,0.17,0
asenkron,1089.0,3.01,3.02,65.4,1.05,0
dc,18912.0,4.32,3.75,76.3,0.67,1
asenkron,19603.0,3.09,2.68,60.9,1.83,0
dc,9738.0,2.3,2.8,61.8,1.54,0
asenkron,9076.0,2.24,1.56,50.1,1.9,0
asenkron,12500.0,3.19,3.71,70.5,1.73,0
asenkron,11842.0,4.04,4.12,64.9,5.89,1
asenkron,10544.0,2.84,2.8,77.3,4.22,0
asenkron,4990.0,3.51,3.74,64.3,1.12,0
asenkron,1233.0,1.86,2.87,67.3,1.05,0
asenkron,15194.0,2.56,2.95,60.2,1.6,0
senkron,12842.0,2.93,4.35,57.1,2.12,1
asenkron,18039.0,3.0,3.63,70.7,1.76,0
asenkron,13844.0,4.07,3.28,60.1,1.51,0
asenkron,501.0,2.61,3.64,68.1,0.62,1
asenkron,14713.0,2.78,3.58,71.9,2.36,0
senkron,7864.0,3.13,2.54,64.7,2.62,0
asenkron,15397.0,5.96,1.5,96.9,4.25,0
senkron,18930.0,4.02,3.72,58.9,0.5,0
senkron,19757.0,5.01,2.88,54.3,2.42,0
senkron,2889.0,3.59,5.03,79.0,1.39,1
senkron,4282.0,0.9,3.21,75.5,0.61,0
asenkron,12734.0,2.52,3.47,72.7,0.61,0
dc,15633.0,2.96,1.5,70.0,3.3,0
asenkron,19843.0,3.15,3.01,58.9,1.22,0
asenkron,9949.0,3.69,1.8,63.3,1.09,0
asenkron,2697.0,3.02,2.56,67.3,5.65,0
asenkron,15605.0,3.14,2.57,69.2,0.89,0
dc,7247.0,3.9,2.95,52.5,0.62,0
asenkron,921.0,1.75,3.14,67.7,3.66,0
senkron,2016.0,2.66,3.19,61.9,2.36,0
asenkron,18032.0,1.68,2.76,54.6,2.28,0
asenkron,10119.0,4.19,2.81,49.4,0.6,0
asenkron,9578.0,1.32,2.3,59.0,2.31,0
asenkron,8991.0,3.47,4.75,69.4,0.47,0
asenkron,13125.0,3.05,4.1,83.6,1.95,0
senkron,4437.0,2.74,3.27,71.8,1.55,0
asenkron,12165.0,4.73,3.94,88.2,3.96,1
senkron,9769.0,2.57,2.58,56.2,1.85,1
asenkron,8444.0,5.04,4.25,60.0,4.31,0
asenkron,7152.0,2.74,1.84,68.6,1.32,0
senkron,10160.0,2.4,2.59,63.3,2.24,0
dc,11872.0,4.95,3.97,60.0,2.32,0
dc,16127.0,3.79,3.06,79.3,3.18,0
senkron,620.0,1.46,4.11,66.3,2.91,0
dc,8965.0,3.22,2.58,74.9,1.7,0
asenkron,8665.0,2.76,3.59,55.6,1.7,0
dc,1220.0,3.24,2.68,67.2,0.36,0
asenkron,19831.0,6.05,3.7,67.7,2.36,1
senkron,14388.0,2.95,2.84,68.6,2.92,0
senkron,7992.0,2.76,2.03,51.4,0.36,0
asenkron,11672.0,2.22,4.64,62.8,1.38,0
senkron,11828.0,4.42,2.29,68.5,0.34,1
asenkron,6996.0,3.07,4.59,57.8,1.54,0
dc,5697.0,2.91,2.99,53.9,0.67,0
asenkron,13073.0,3.13,2.23,57.9,0.24,1
asenkron,14386.0,3.19,3.06,59.4,1.67,0
dc,9547.0,2.45,1.55,66.8,0.54,0
senkron,13939.0,3.84,3.08,60.7,1.0,0
asenkron,16758.0,3.13,3.4,60.6,0.74,0
senkron,12261.0,1.91,1.5,68.5,3.15,0
asenkron,7058.0,2.7,3.45,48.6,3.52,0
asenkron,17348.0,3.39,2.94,54.4,1.07,0
asenkron,16014.0,3.83,2.65,71.9,2.76,0
dc,5805.0,2.16,4.68,78.5,1.96,0
senkron,520.0,1.38,2.46,47.9,2.2,0
asenkron,948.0,3.02,2.9,70.3,4.22,0
senkron,8285.0,3.16,2.3,66.4,0.88,0
senkron,4441.0,3.5,1.5,61.1,1.1,0
asenkron,16031.0,3.61,3.39,49.5,1.57,0
asenkron,1617.0,2.98,3.0,51.6,2.91,0
senkron,11700.0,2.41,2.46,67.5,1.05,0
asenkron,10249.0,3.04,3.61,69.5,2.14,0
asenkron,13319.0,2.59,3.33,52.3,1.57,0
asenkron,16878.0,3.72,1.91,58.7,0.17,0
asenkron,10384.0,2.35,4.18,75.5,0.31,0
senkron,16212.0,2.93,4.01,68.7,0.49,0
asenkron,13909.0,3.94,5.29,85.7,1.15,1
asenkron,14880.0,2.48,2.96,69.5,0.43,0
dc,6235.0,5.31,5.83,63.0,3.69,1
asenkron,17272.0,5.55,2.86,59.2,1.4,0
dc,318.0,1.89,3.64,66.6,0.27,0
asenkron,18803.0,2.48,4.33,54.6,3.26,0
senkron,15955.0,3.11,4.36,44.2,6.43,0
asenkron,7540.0,4.23,4.43,76.6,3.76,1
senkron,13285.0,1.71,6.1,75.2,4.04,1
senkron,4351.0,3.44,1.86,61.5,0.77,0
asenkron,1500.0,1.96,2.14,85.3,2.53,0
asenkron,7936.0,2.36,3.48,55.1,1.57,0
asenkron,2388.0,3.55,3.36,58.2,2.14,0
asenkron,6326.0,3.3,4.67,69.3,5.65,1
senkron,18538.0,3.9,2.89,71.9,0.82,0
asenkron,19993.0,4.18,2.94,80.0,1.81,0
dc,17965.0,2.42,3.77,63.5,2.35,0
senkron,10045.0,3.5,2.79,73.3,1.05,0
asenkron,18830.0,3.89,4.12,56.5,2.01,0
asenkron,8528.0,3.12,3.07,66.7,0.77,0
dc,15090.0,3.53,2.47,59.2,1.54,0
asenkron,16868.0,2.32,2.06,68.9,0.1,0
senkron,16689.0,2.35,2.22,73.8,1.98,0
asenkron,15276.0,2.62,3.99,47.4,0.79,0
dc,8539.0,2.24,2.81,77.7,2.87,1
dc,16123.0,2.37,4.25,75.6,1.3,0
senkron,5225.0,4.63,3.01,67.3,0.53,0
asenkron,6237.0,3.12,4.81,51.2,1.32,0
asenkron,16329.0,3.57,2.95,44.8,3.04,0
senkron,17560.0,4.92,5.09,68.8,3.01,0
asenkron,16163.0,3.51,1.5,64.3,2.23,0
dc,19042.0,3.84,4.09,75.8,5.13,1
senkron,13839.0,5.66,4.16,61.9,1.92,1
asenkron,18139.0,1.57,2.63,57.0,0.85,0
senkron,10110.0,3.96,3.02,48.5,4.35,0
dc,9078.0,3.24,4.56,56.2,2.93,0
asenkron,16452.0,2.63,3.02,61.7,1.04,0
senkron,12040.0,5.31,2.18,82.9,4.72,1
senkron,13281.0,2.57,3.64,53.7,1.12,0
asenkron,10389.0,1.88,3.31,54.5,4.15,0
dc,4748.0,2.56,2.75,68.2,2.49,0
asenkron,7220.0,1.9,4.33,65.0,1.6,0
asenkron,3488.0,1.1,3.6,64.2,1.38,0
senkron,9942.0,1.69,3.57,64.0,0.26,0
asenkron,2643.0,1.21,4.18,50.9,2.2,0
asenkron,10589.0,3.11,2.93,60.8,3.4,0
senkron,1717.0,3.59,3.29,64.3,6.46,1
asenkron,2445.0,2.11,3.03,58.5,1.63,0
asenkron,8898.0,1.89,2.79,67.9,1.18,0
dc,774.0,2.14,2.75,65.2,0.11,0
senkron,3264.0,3.68,4.81,70.1,0.62,0
asenkron,12914.0,2.49,4.28,81.9,0.39,0
asenkron,11107.0,2.35,4.0,54.2,5.02,0
asenkron,1435.0,1.78,3.25,53.9,0.43,0
asenkron,13629.0,2.47,1.94,62.9,1.49,0
senkron,6476.0,1.49,2.4,67.1,2.51,0
dc,2624.0,4.55,2.61,65.1,2.9,0
senkron,15052.0,3.67,3.56,57.0,0.85,0
senkron,17694.0,3.23,2.5,66.2,0.61,0
asenkron,13118.0,2.74,2.09,74.1,1.62,0
senkron,1005.0,2.09,3.2,63.0,1.87,0
asenkron,9300.0,1.65,2.11,62.7,0.48,0
asenkron,8451.0,4.64,3.43,57.3,1.99,1
asenkron,9956.0,1.44,2.89,72.3,1.31,0
asenkron,9621.0,4.36,3.01,58.2,1.09,1
asenkron,9102.0,2.36,3.39,62.3,1.16,0
asenkron,19084.0,3.58,2.5,72.3,0.89,0
asenkron,16129.0,2.27,2.22,67.0,2.49,0
senkron,3003.0,2.32,2.33,56.3,1.38,0
asenkron,129.0,3.11,2.26,56.4,0.84,0
dc,10498.0,1.69,3.79,68.5,2.09,0
senkron,11185.0,1.6,3.35,65.2,2.5,0
asenkron,19648.0,2.89,3.32,54.2,1.3,0
asenkron,6255.0,2.41,3.02,74.0,2.33,0
asenkron,13850.0,2.15,1.95,74.5,0.68,0
asenkron,19067.0,2.46,2.13,63.3,0.29,0
asenkron,11689.0,1.28,2.59,70.1,1.03,0
asenkron,18651.0,3.23,3.36,57.9,0.33,0
asenkron,15790.0,2.52,2.55,62.8,0.83,0
asenkron,17511.0,5.71,7.14,50.5,4.61,1
asenkron,18231.0,3.73,2.97,59.0,0.96,0
asenkron,16294.0,3.08,2.88,61.9,2.71,0
asenkron,7374.0,2.52,2.63,69.7,0.66,0
asenkron,8095.0,3.03,3.06,61.8,0.98,0
senkron,9412.0,4.21,2.73,61.8,1.22,0
senkron,15552.0,4.23,2.03,74.4,0.82,0
asenkron,18059.0,1.78,4.12,68.5,1.05,0
asenkron,13014.0,2.54,3.31,46.1,1.76,0
dc,4096.0,3.29,3.2,76.8,1.15,0
asenkron,11745.0,2.14,4.06,48.5,0.59,0
asenkron,15076.0,5.03,2.66,47.6,4.9,0
dc,17593.0,1.28,4.17,57.3,0.41,0
asenkron,2727.0,3.31,4.65,58.7,0.63,0
asenkron,16078.0,3.11,3.84,80.2,4.83,1
asenkron,11946.0,2.05,2.82,58.2,3.71,0
senkron,18889.0,2.5,2.01,49.4,1.97,0
senkron,10364.0,2.25,3.61,56.8,0.95,0
asenkron,5447.0,2.54,2.13,55.9,3.19,1
senkron,4189.0,2.82,3.64,59.6,0.53,0
senkron,15015.0,3.59,2.27,64.6,0.44,0
senkron,14557.0,2.78,2.83,48.0,4.22,0
senkron,11544.0,4.26,3.23,46.9,4.03,0
asenkron,5546.0,4.03,2.98,52.5,1.63,0
asenkron,11421.0,3.37,2.36,72.6,0.15,0
senkron,1189.0,1.89,2.37,46.4,0.92,0
asenkron,11825.0,3.8,4.19,78.3,0.65,0
asenkron,5681.0,1.79,3.28,68.8,0.23,0
senkron,8532.0,3.29,2.74,58.0,3.22,0
senkron,4075.0,1.93,3.39,57.8,1.64,0
senkron,11998.0,3.12,1.56,69.0,0.39,0
asenkron,2771.0,2.78,2.15,66.2,0.89,0
asenkron,7807.0,1.74,2.31,54.8,1.41,0
asenkron,7155.0,0.89,4.28,58.8,0.48,0
senkron,5186.0,3.21,3.82,82.6,1.37,0
asenkron,13153.0,2.73,2.07,50.6,1.46,0
asenkron,1658.0,2.44,2.78,70.6,3.27,0
senkron,10767.0,2.09,2.16,61.3,1.8,0
senkron,19745.0,3.13,3.68,66.4,0.75,0
asenkron,2001.0,2.04,1.7,63.0,1.39,0
dc,9192.0,3.14,2.87,80.5,5.77,0
senkron,19441.0,2.12,3.0,55.6,4.19,0
senkron,5579.0,5.54,4.65,62.7,5.14,1
asenkron,424.0,2.52,3.93,48.3,1.97,0
senkron,18125.0,4.87,3.2,62.3,2.07,0
asenkron,1347.0,4.62,5.02,80.0,2.81,1
asenkron,8340.0,1.61,2.03,55.0,0.88,0
asenkron,17677.0,1.57,3.72,68.1,2.13,0
asenkron,9840.0,2.7,3.24,51.8,1.45,0
asenkron,11052.0,2.3,3.12,64.7,5.0,1
dc,15254.0,3.24,3.34,85.2,1.24,0
asenkron,8552.0,1.29,2.82,79.7,1.11,0
senkron,6861.0,2.89,1.5,65.2,2.01,0
asenkron,18445.0,3.67,3.35,56.3,1.75,0
senkron,6670.0,3.9,3.7,59.4,3.3,0
senkron,6733.0,1.81,4.44,68.2,3.39,0
asenkron,6584.0,1.94,3.06,57.1,0.37,0
asenkron,14681.0,2.04,4.21,65.8,2.97,0
senkron,14619.0,1.48,3.57,71.9,1.47,0
asenkron,10440.0,1.82,3.52,66.0,1.68,0
asenkron,17766.0,3.35,3.27,54.3,1.46,0
senkron,5114.0,5.01,4.58,68.3,2.23,1
senkron,6973.0,2.01,2.93,65.5,0.31,0
dc,17650.0,3.2,3.23,50.0,1.15,0
asenkron,1386.0,2.88,3.14,63.1,1.19,0
asenkron,6674.0,0.91,1.92,77.4,0.62,0
senkron,12883.0,3.55,1.59,62.5,0.74,0
asenkron,14831.0,3.46,1.83,55.8,1.7,0
asenkron,845.0,3.9,2.62,65.8,2.2,0
asenkron,10471.0,2.49,4.08,69.2,3.75,0
dc,1707.0,1.22,2.74,70.9,0.46,0
asenkron,11841.0,6.63,6.93,63.9,2.51,1
asenkron,12671.0,2.33,3.87,70.4,1.05,0
asenkron,958.0,2.28,3.0,78.0,2.52,0
asenkron,1039.0,5.53,6.34,76.7,2.74,1
asenkron,13131.0,3.62,2.26,60.3,0.7,1
asenkron,9107.0,4.01,2.93,64.8,2.34,0
senkron,5885.0,1.63,2.92,58.4,2.16,0
asenkron,1361.0,1.69,4.73,66.9,2.36,0
asenkron,14593.0,2.65,4.16,67.9,1.01,0
senkron,5153.0,2.39,3.05,59.7,3.4,0
asenkron,12205.0,2.45,1.5,70.4,5.49,1
asenkron,19258.0,3.22,2.75,50.8,1.21,0
asenkron,7480.0,4.18,3.69,61.1,1.97,0
senkron,7354.0,3.62,2.26,60.1,0.68,0
senkron,10173.0,2.49,2.16,60.6,0.71,0
asenkron,293.0,2.32,3.43,63.1,1.08,1
senkron,11901.0,2.95,3.14,74.6,0.65,0
dc,10201.0,1.54,3.8,67.0,1.2,0
asenkron,8668.0,4.21,3.06,71.0,1.59,1
asenkron,4396.0,1.72,3.88,52.9,0.57,0
senkron,2373.0,2.84,2.18,60.2,1.11,0
asenkron,9100.0,0.99,3.23,73.3,0.97,0
asenkron,4697.0,3.05,2.52,54.6,3.15,0
